customer_id,content_id,client_id,event_date,session_start_ms,session_end_ms,watch_time_ms,snapshot_count,total_buffering_events,total_buffering_time_ms,buffering_ratio,avg_buffering_duration_ms,dominant_quality,total_received_bytes,p2p_received_bytes,p2p_ratio,quality_bytes_1080p,quality_bytes_270p,quality_bytes_360p,quality_bytes_720p,quality_pct_1080p,quality_pct_270p,quality_pct_360p,quality_pct_720p
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,01a63152-9513-4010-ac2e-d82af93a7391,2025-11-13,1763032047274,1763032847271,829997,28,36,156149,0.1881,4337.5,1080p,232511444,24261400,0.1043,95539344,18719160,7415096,69879788,49.88,9.77,3.87,36.48
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,22c0a830-c037-4a13-bb64-78d9c396df1f,2025-11-13,1763032039110,1763032853894,844784,27,40,166076,0.1966,4151.9,720p,240606348,44249372,0.1839,62020260,20376944,4791556,124810756,29.25,9.61,2.26,58.87
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,313aa0e6-04ea-471b-8ec4-b347043b5e00,2025-11-13,1763032044770,1763032815137,800367,26,28,116665,0.1458,4166.6,720p,203706836,13382216,0.0657,47604232,16842920,1444404,131850604,24.07,8.52,0.73,66.68
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,35a1e10d-9cad-4839-b5a3-1e1ba0913d25,2025-11-13,1763032031474,1763032842138,840664,30,44,183172,0.2179,4163.0,1080p,254294628,27830204,0.1094,152388288,22573160,1799912,51363104,66.8,9.9,0.79,22.52
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,44d4aa0b-5fa2-474c-adfb-07544846b35e,2025-11-13,1763032044169,1763032847888,833719,29,30,85903,0.103,2863.4,1080p,435355924,39123176,0.0899,281308348,15737668,1188724,71408792,76.1,4.26,0.32,19.32
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,46c9a090-1115-402a-94d2-30b4ee1269fa,2025-11-13,1763032036522,1763032843896,837374,29,34,90259,0.1078,2654.7,1080p,337541968,12650708,0.0375,204661500,19875360,2152412,74110540,68.04,6.61,0.72,24.64
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,6d26c8bb-4910-45fe-aabb-e20166be7ddb,2025-11-13,1763032061591,1763032835668,804077,28,27,129008,0.1604,4778.1,720p,176175928,22332144,0.1268,43332308,12354044,25879704,67111864,29.15,8.31,17.41,45.14
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,6e3d805b-409b-4b57-9113-6ba3c8b2d684,2025-11-13,1763032023688,1763032853731,860043,30,28,58720,0.0683,2097.1,720p,224067612,26814440,0.1197,33681516,20866120,28823220,109950672,17.42,10.79,14.91,56.87
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,6fc0c270-0ce5-40aa-88bd-2ed26cc27141,2025-11-13,1763032103471,1763032834749,761278,26,32,68430,0.0899,2138.4,1080p,332957212,69520332,0.2088,204592316,17316680,2169896,67552724,70.15,5.94,0.74,23.16
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,8e39b554-af6d-4db2-a3fd-0e511ceeb904,2025-11-13,1763032087101,1763032842848,785747,29,36,98494,0.1254,2735.9,360p,115325780,29444372,0.2553,9416168,19909388,51424204,23986356,8.99,19.01,49.1,22.9
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,9359a34a-29de-4311-88a6-eebd158955ce,2025-11-13,1763032047646,1763032851403,833757,28,28,91008,0.1092,3250.3,1080p,375083500,46627196,0.1243,210169712,13832664,2699304,101379564,64.06,4.22,0.82,30.9
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,9a7a06ce-62c6-4e31-a15c-3d1e70620797,2025-11-13,1763032033774,1763032838209,834435,29,29,76592,0.0918,2641.1,720p,267097804,48859696,0.1829,80575860,19879496,11507480,128552144,33.5,8.27,4.78,53.45
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,9ac455d2-7257-45a3-bd21-a6242a0c43e1,2025-11-13,1763032048120,1763032841589,823469,26,30,146380,0.1778,4879.3,720p,236405676,94800692,0.401,33461932,25180344,23131144,47765348,25.83,19.44,17.86,36.87
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,ab7fff07-5941-428e-9bd5-e72ce89388a7,2025-11-13,1763032045406,1763032857123,841717,30,30,149464,0.1776,4982.1,1080p,263346640,34415656,0.1307,129058428,16371792,14943744,80796384,53.51,6.79,6.2,33.5
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,b4d80be9-7376-41bb-bb2e-237878e6103d,2025-11-13,1763032024137,1763032844596,850459,30,37,133029,0.1564,3595.4,1080p,355470212,90466728,0.2545,205615036,19548616,0,91335476,64.97,6.18,0.0,28.86
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,bf61c04b-3382-4c7c-8f46-3203d2668a58,2025-11-13,1763032244803,1763032848782,633979,23,27,64680,0.102,2395.6,1080p,294690752,86257408,0.2927,176262596,17474412,1312052,79454628,64.21,6.37,0.48,28.94
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,ca4c2a03-63de-4386-bf8b-ac0132fcb6df,2025-11-13,1763032030974,1763032842291,841317,29,29,105684,0.1256,3644.3,1080p,294017524,29753068,0.1012,123718664,16436276,15257892,119321908,45.03,5.98,5.55,43.43
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,d5689fea-c687-46dc-869a-233899aa2a71,2025-11-13,1763032032851,1763032860628,857777,29,29,71626,0.0835,2469.9,1080p,340129976,32783064,0.0964,147433548,21460200,7195512,86546740,56.14,8.17,2.74,32.95
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,e7d7517f-31a5-4892-9cf2-b221cdb2cb6f,2025-11-13,1763032043110,1763032858397,845287,29,30,85977,0.1017,2865.9,1080p,510594464,53999992,0.1058,414446188,17423276,0,73953748,81.93,3.44,0.0,14.62
4cb0f1c9-19b3-408c-8a09-03bf153819cf,5761d026-0569-437e-9033-16618b2c28fa,f63c5309-d0c6-4643-b9b0-63306d06f3d3,2025-11-13,1763032030005,1763032845523,845518,31,31,113983,0.1348,3676.9,1080p,320728564,14390460,0.0449,162718888,16816412,3048796,110980912,55.43,5.73,1.04,37.8
